,feature_total_nodes,feature_unique_node_types,feature_max_depth,feature_avg_depth,feature_depth_variance,feature_cyclomatic_complexity,feature_cognitive_complexity,feature_nesting_complexity,feature_control_flow_complexity,feature_operator_density,feature_literal_density,feature_call_density,feature_variable_density,feature_attribute_density,feature_node_type_entropy,feature_operator_entropy,feature_variable_entropy,feature_unique_variables,feature_unique_operators,feature_unique_functions,feature_avg_branching_factor,feature_max_branching_factor,feature_leaves_to_nodes_ratio,feature_loops_count,feature_conditionals_count,feature_functions_count,feature_classes_count,feature_try_blocks_count,feature_vocabulary_size,feature_program_length,feature_program_volume,feature_program_difficulty,feature_program_effort
3095,309,34,9,5.087378640776699,2.62545706720464,6,7,4,5,0.0550161812297734,0.0841423948220064,0.0161812297734627,0.203883495145631,0.0097087378640776,3.699387817060667,2.205109900073869,3.735449869851073,15,7,3,0.9967637540453076,9,0.4983818770226537,2,3,1,0,0,26,106,498.2466101229557,16.394736842105264,8168.622055436879
1603,29,17,6,2.9655172413793105,2.248768472906404,3,2,2,2,0.0689655172413793,0.1379310344827586,0.0,0.2068965517241379,0.0,3.71937582241537,1.0,1.4591479170272448,3,2,0,0.9655172413793104,4,0.4827586206896552,1,1,1,0,0,8,12,36.0,1.6666666666666667,60.0
4951,102,18,8,4.333333333333333,2.9768976897689767,5,5,3,3,0.0784313725490196,0.0686274509803921,0.0490196078431372,0.2647058823529412,0.0,3.255225586494553,2.4056390622295662,2.9538063731601096,9,6,3,0.9901960784313726,5,0.4705882352941176,2,2,0,0,0,18,42,175.1368500605771,8.5,1488.6632255149054
1468,31,11,7,3.3548387096774195,3.5698924731182795,2,1,1,1,0.0,0.032258064516129,0.0967741935483871,0.3225806451612903,0.0,2.87740468433514,0.0,2.321928094887362,6,0,3,0.967741935483871,4,0.3870967741935484,1,0,1,0,0,7,11,30.880904142633646,0.0,0.0
1062,51,14,5,3.176470588235294,1.428235294117647,2,1,1,1,0.0196078431372549,0.1176470588235294,0.0392156862745098,0.2352941176470588,0.0,3.0874784023286086,0.0,1.950825794518089,5,1,2,0.9803921568627452,4,0.5098039215686274,1,0,0,0,0,8,19,57.0,1.2857142857142858,73.28571428571429
326,12,11,5,2.75,2.5681818181818183,1,0,0,0,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,3.4182958340544896,0.0,0.0,1,0,0,0.9166666666666666,3,0.4166666666666667,0,0,1,0,0,2,2,2.0,0.0,0.0
7514,82,15,8,4.939024390243903,3.3172237277928334,4,4,3,3,0.073170731707317,0.048780487804878,0.048780487804878,0.2560975609756097,0.0,3.09216530521533,1.4591479170272448,2.02796102018813,5,3,2,0.9878048780487804,3,0.4756097560975609,2,1,0,0,0,9,31,98.26767504471168,6.25,614.172969029448
303,70,11,8,4.728571428571429,3.736853002070393,4,6,3,3,0.0142857142857142,0.0142857142857142,0.0857142857142857,0.3,0.0,2.555084261851318,0.0,2.9385400412082454,8,1,2,0.9857142857142858,3,0.4428571428571428,3,0,0,0,0,10,23,76.40434618240933,1.2222222222222223,93.38308977850028
5811,13,8,4,2.3076923076923075,1.7307692307692308,2,1,1,1,0.0,0.0769230769230769,0.0769230769230769,0.3076923076923077,0.0,2.71929452566698,0.0,1.5,3,0,1,0.9230769230769232,3,0.3846153846153846,1,0,0,0,0,4,5,10.0,0.0,0.0
4734,75,21,10,5.026666666666666,5.674954954954955,3,2,2,2,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.2266666666666666,0.0266666666666666,3.449424155391744,1.3709505944546687,2.133387491316597,5,3,3,0.9866666666666668,4,0.4533333333333333,1,1,1,0,0,12,27,96.79398751947122,3.6666666666666665,354.91128757139444
