Configuration,Features,test_r2,test_rmse,cv_r2_mean,cv_r2_std
Size-only,2,0.2039,0.5083,0.2825,0.0461
Complexity+Size,9,0.6983,0.3129,0.7536,0.0534
Full Model (all groups),33,0.7571,0.2807,0.8094,0.0403
w/o AST Structural,25,0.7567,0.281,0.8079,0.0391
w/o Complexity,29,0.7555,0.2817,0.8104,0.038
w/o Density,28,0.7553,0.2818,0.8057,0.0369
w/o Entropy,30,0.7583,0.2801,0.8084,0.0415
w/o Counts,25,0.7458,0.2872,0.7988,0.0406
w/o Halstead,28,0.7515,0.284,0.8094,0.038
Only AST Structural,8,0.6504,0.3368,0.7491,0.0513
Only Complexity,4,0.0674,0.5501,0.1029,0.0553
Only Density,5,0.6999,0.3121,0.7519,0.0478
Only Entropy,3,0.6907,0.3168,0.7676,0.0576
Only Counts,8,0.7199,0.3015,0.7644,0.0536
Only Halstead,5,0.6883,0.318,0.7521,0.0531
