iter	Passed	Remaining
0	16	2978
1	27	2412
2	56	3310
3	72	3196
4	75	2635
5	101	2952
6	114	2838
7	129	2778
8	132	2519	9	135	2301010	167	2574
11	180	2529
12	193	2485
13	203	2408
14	219	2410
15	221	2270
16	237	2275
17	240	2161
18	263	2232
19	266	2131
20	288	2186
21	295	2119
22	298	2036
23	301	1959
24	349	2167
25	351	2081
26	352	2000
27	356	1936
28	358	1866
29	359	1799
30	361	1739
31	363	1679
32	364	1624
33	366	1573
34	367	1524
35	369	1477
36	370	1433
37	37238	369	1334
39	37139	38040	375	1272
41	381	1254
42	392	1248
43	399	1233
44	402	1206
45	408	1189
46	411	1163
47	412	1135
48	422	1130
49	429	1117
50	432	1095
51	440	1083
52	444	1065
53	446	1042
54	451	1025
55	455	1009
56	462	997
57	463	975
58	465	954
59	466	933
60	469	915
61	471	896
662	480	892663	488	885
64	500	885
65	507	876
66	509	859
67	523	861
68	530	853
69	537	844
70	539	828
71	555	832
72	562	825
73	568	813
74	575	805
75	581	796
76	583	780
77	595	778
78	601	768
79	607	759
80	616	752
81	620	741
82	633	740
83	641	733
84	648	725
85	653	714
86	665	710
87	672	703
88	675	691
89	679	679
90	682	667
91	685	655
92	688	643
93	691	632
94	693	620
95	697	609
96	699	598
97	702	587
98	705	577
99	709	567
100	711	556
101	715	546
102	718	536
103	786	574
104	795	568
105	802	560
106	807	550
107	813	542
108	819	533
109	828	527
110	836	520
111	841	511
112	849	503
113	858	496
114	864	488
115	871	480
116	880	473
117	884	464
118	890	456
119	893	446
120	901	439
121	905	430
122	907	420
123	908	410
124	909	400
125	911	390
126	912	380
127	913	371
128	914	361
129	915	352
130	917	343
131	918	333
132	919	324
133	920	316
134	921	307
135	923	298
136	927	291
137	930	283
138	931	274
139	932	266
140	935	258
141	937	250
142	938	242
143	939	234
144	940	227
145	942	219
146	943	211
147	944	204
148	945	196
149	946	189
150	947	182
151158	968	127
159	975	121
160	981	115
161	984	109
162	990	103
163	992	96
164	1005	91
165	1009	85
166	1012	78
167	1013	72
168	1014	66
169	1015	59
170	1016	53
171	1017	47
172	1018	41
173	1019	35
174	1021	29
175	1022	23
176	1023	17
177	1024	11
178	1025	5
179	1026	0

174	978	27
175	979	22
176	980	16
177	981	11
178	983	5
179	984	0
