feature,pearson_corr,abs_pearson,pearson_pval,spearman_corr,abs_spearman,kendall_corr,abs_kendall,gradboost_perm_importance,gradboost_perm_std,xgboost_perm_importance,xgboost_perm_std,randomforest_importance,extratrees_importance,feature_group,avg_perm_importance,avg_abs_corr
feature_total_nodes,-0.01587104514747889,0.01587104514747889,0.1944309662920389,0.04451719440824075,0.04451719440824075,0.03472826518907789,0.03472826518907789,-0.003302488795210434,0.003408103986006408,-0.010870335347146053,0.0025686997369537496,0.028276749459942616,0.016551396118365678,Original_metrics,-0.007086412071178244,0.031705501581599176
feature_unique_node_types,-0.04697700109741094,0.04697700109741094,0.00012172937824022451,-0.1913157271990898,0.1913157271990898,-0.12715062440931435,0.12715062440931435,0.031110235310252775,0.011145710748656633,0.07143385378888975,0.02070578016373363,0.0754053586903109,0.04274344177348638,Original_metrics,0.051272044549571266,0.12181445090193836
feature_max_depth,0.07231256218733764,0.07231256218733764,3.229300627216903e-09,0.017675731636941507,0.017675731636941507,0.018666862289916323,0.018666862289916323,-0.0045208025167157604,0.0012234824517259235,-0.0024019695279281937,0.0018642294668406946,0.003169179862720361,0.021863123138613307,Original_metrics,-0.003461386022321977,0.03621838537139849
feature_avg_depth,0.07149038441431593,0.07149038441431593,4.856419144181681e-09,0.049960392612380285,0.049960392612380285,0.03877980333301136,0.03877980333301136,-0.01139358410560073,0.003294722608346051,-0.03650839073682478,0.002760781948605955,0.026139313833375144,0.026058240799583274,Original_metrics,-0.023950987421212756,0.05341019345323586
feature_depth_variance,0.11553143318212179,0.11553143318212179,2.6232368853564352e-21,-0.03271481600542599,0.03271481600542599,-0.01854800986586451,0.01854800986586451,0.008915783239569763,0.0049439933273992065,-0.002561988927032166,0.00512764581489452,0.052303119804993844,0.04573077002432758,Original_metrics,0.003176897156268799,0.05559808635113742
feature_cyclomatic_complexity,0.027967860250476314,0.027967860250476314,0.022201968562113403,0.20347631531715865,0.20347631531715865,0.14995668154723962,0.14995668154723962,0.001773017391975551,0.0006436820881974127,0.000556525011687703,0.0008317537757023049,0.0024483230267404385,0.01580234729475011,Original_metrics,0.001164771201831627,0.12713361903829154
feature_cognitive_complexity,0.05545636331250986,0.05545636331250986,5.700665850500381e-06,0.22546770994828813,0.22546770994828813,0.16523113197853903,0.16523113197853903,0.0012223560154630887,0.0006705994623119633,-0.0008463928660220277,0.0006877671533488879,0.003968210545540153,0.0206644615214669,Original_metrics,0.00018798157472053049,0.14871840174644568
feature_nesting_complexity,0.04565180216827609,0.04565180216827609,0.00018838483409520018,0.21542237812623444,0.21542237812623444,0.16027969769099634,0.16027969769099634,0.00048524389517990986,0.0007493597021935539,0.0014673947120188435,0.0005040591820888245,0.006070779098124562,0.016512591270175243,Original_metrics,0.0009763193035993767,0.14045129266183562
feature_control_flow_complexity,0.03760550194327102,0.03760550194327102,0.0021019350033240417,0.21035198153501786,0.21035198153501786,0.15572604825179479,0.15572604825179479,0.001378431317198192,0.0007114324256977881,0.00036435037741812116,0.00012415607841702298,0.003174126737055431,0.015505169788204713,Original_metrics,0.0008713908473081566,0.13456117724336122
feature_operator_density,0.28606634821868515,0.28606634821868515,4.1205568952263674e-126,0.19539456622360704,0.19539456622360704,0.13775574884118388,0.13775574884118388,0.10212006684176358,0.007448958427099356,0.5267554194963432,0.030462934982663805,0.09924666358561837,0.08562313497804887,Original_metrics,0.3144377431690534,0.20640555442782538
