model,transformation,train_time_seconds,train_pred_time_seconds,test_pred_time_seconds,inference_energy_per_sample_joules,n_train_samples,n_test_samples,n_features,train_r2,train_rmse,train_mae,train_mape,train_max_error,train_median_ae,train_explained_var,train_residual_mean,train_residual_std,train_residual_skewness,train_residual_kurtosis,test_r2,test_rmse,test_mae,test_mape,test_max_error,test_median_ae,test_explained_var,test_residual_mean,test_residual_std,test_residual_skewness,test_residual_kurtosis,train_adj_r2,test_adj_r2,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_min,cv_r2_max,train_test_r2_gap,train_test_rmse_ratio
XGBoost,log,0.22986769676208496,0.009782075881958008,0.0038056373596191406,0.2234004,6686,1672,33,0.8801628642514413,0.18391497349238906,0.04170190692567869,172.53612992622936,4.8031461000131035,0.007473407915837011,0.880162888234138,8.227547271171635e-05,0.18391495508917363,6.815396800951631,181.05007113359045,0.7553665513304388,0.2817656264731742,0.05732490359235106,172.4511974009611,6.487375191758352,0.007742368987498914,0.7554564797450956,0.005402298296448219,0.2817138325232478,11.528789315691988,244.48340145655933,0.8795683625256893,0.7504380386283048,0.8111957648655244,0.0403729899855183,0.22948865070612579,0.033684286639698434,0.05122285414806178,0.0032932400161645135,0.7371625764357062,0.8520437051692541,0.12479631292100246,1.5320428835645088
Gradient Boosting,log,0.8926606178283691,0.023844480514526367,0.008439064025878906,0.025268400000000003,6686,1672,33,0.8672373913910424,0.1935794569959636,0.044024973888515354,172.21370782752575,5.313503607948848,0.008523072788372495,0.8672373950314987,-3.205525911479718e-05,0.19357945434191223,8.092728781792767,215.1332562663953,0.7473726081525103,0.2863322798900715,0.05880351038839546,171.83210634301025,6.501598680611911,0.009063281579916548,0.7475068434265886,0.006600296098607555,0.2862561974848002,11.825679520613164,238.8427441808963,0.8665787675058807,0.742283045313092,0.8100708491726467,0.040615831975321016,0.23020660017486955,0.03402549889706818,0.053080514629968545,0.0041872636228825555,0.7359680705685139,0.8506288320586395,0.11986478323853211,1.4791460012625581
Random Forest,log,0.48284125328063965,0.06870865821838379,0.06672191619873047,0.24708199999999997,6686,1672,33,0.8255869113151789,0.2218763001457663,0.04617765204325478,162.3095998303961,6.0907908037531,0.00590730449100078,0.825591935011635,-0.0011907842284559385,0.22187310472271177,10.94040363650518,252.80929487023252,0.7187829192954153,0.30210014928315154,0.06030844119872262,162.83168786428678,6.459733033990348,0.007015353653248951,0.7190996094331965,0.010137885026658487,0.3019299976552325,11.66082950270162,208.39638295035485,0.8247216629798513,0.7131173737134548,0.7936565882110552,0.04769925557756165,0.23982913073243578,0.037905429645420284,0.052707475628003084,0.005296327504760294,0.7107270685434413,0.845474630107292,0.10680399201976365,1.3615701584555155
Extra Trees,log,0.3615741729736328,0.06794357299804688,0.056516170501708984,0.24467699999999998,6686,1672,33,0.7618972087060271,0.2592409606281801,0.06203677318516113,171.57636725430697,6.242913704345475,0.012153231307776041,0.7618988563925525,-0.0006819596414942977,0.25924006364462454,10.38935784846418,174.15846792293007,0.6819052565079967,0.3212982338951358,0.07448057459421942,170.8466934665739,6.4686104413011,0.013052811162061827,0.6821805117057407,0.009451437274524585,0.3211591901807873,10.862061100966699,167.811629473943,0.7607160012326806,0.6754967543497329,0.7376754171284763,0.047469826668687175,0.27096104722373876,0.03797330389731322,0.06667794899922129,0.006228867265661827,0.656781241860659,0.7922177053596948,0.07999195219803035,1.2393806634285085
KNN,log,0.006268739700317383,0.12051606178283691,0.029262781143188477,0.0166624,6686,1672,33,0.7176236123782578,0.28231604920536796,0.052184916164751204,102.94593095513093,6.3252255692625905,0.0007685600234008752,0.7181409299089789,-0.0120837011717085,0.2820573271604916,2.8736963980150665,138.9675147037661,0.644600134670917,0.33961645278269537,0.06610182337663958,105.7755204294631,6.481868513255421,0.0008378166753651732,0.644975075948888,-0.011030919614518199,0.33943726049619066,5.619414640808213,136.78360511721763,0.7162227674005792,0.6374400641239941,0.6842952911317484,0.08107033151232759,0.2961357640886607,0.04865961831946156,0.05749016087282016,0.010330272200467987,0.5380720755452214,0.7767404331315199,0.07302347770734074,1.2029654481858671
Ridge,log,0.010918140411376953,0.005881309509277344,0.004323482513427734,0.011328000000000001,6686,1672,33,0.2504551729097655,0.4599601261006984,0.2208901196369086,189.9509677321577,6.515446408636782,0.13518165171004243,0.2504551729097655,-5.446502424125806e-18,0.4599601261006984,5.421396507598667,44.503559433460794,0.21441679579905337,0.5049242010186618,0.24060279521870206,189.79141001322049,7.350333951979591,0.14113909458796503,0.21443815181474746,0.0026326323144732176,0.5049173378102902,5.660514025702113,51.58536596339707,0.2467367454753131,0.19859002794885117,0.23028943722301903,0.0404801048439753,0.46390038789701665,0.03316582931330961,0.2230302307674982,0.007937540988623119,0.17091012438971842,0.27551453111612934,0.036038377110712116,1.097756462477236
Bayesian Ridge,log,0.09107494354248047,0.009141206741333008,0.005615949630737305,0.0145142,6686,1672,33,0.25007882641715706,0.4600755846099604,0.2198374471922962,189.98232991686123,6.506091652661142,0.1339630953631603,0.25007882641715706,8.900382010156803e-18,0.4600755846099604,5.477716420654595,44.925534653103355,0.2159031391447389,0.5044463101693308,0.23902670435178996,189.952776917954,7.383604890340478,0.13719753271539342,0.215944031825675,0.0036429472617456665,0.5044331559074017,5.738976585412804,52.43128077740665,0.24635853196011648,0.20010631594069517,0.2321296491599547,0.03878908208762954,0.4633680293543848,0.033124659494341346,0.22149183922222226,0.007885013114829784,0.17725867655186678,0.2769272518695586,0.034175687272418154,1.0964422519559314
AdaBoost,log,0.7367727756500244,0.02222156524658203,0.008876323699951172,0.0407714,6686,1672,33,0.8220166118523249,0.22413574017774154,0.07264454025044749,173.10230849349165,4.96070876490298,0.03711563169226893,0.8246102482889841,-0.027056768642942045,0.2224966545717629,5.168302216968064,102.73530486223822,0.6332096794568448,0.34501583273277914,0.09207507055711013,171.80931541845737,6.40187016638524,0.03710604248860566,0.6343146142494739,-0.01893644350916188,0.34449577057420805,6.587092765417539,142.6571893443796,0.8211336515683691,0.6258201308744735,0.7573885709425008,0.05122253154891246,0.25880403635742677,0.030186775721794085,0.07531320596594993,0.003834402121534865,0.6789305616420418,0.8310234089084028,0.18880693239548008,1.5393164530799373
Decision Tree,log,0.020283937454223633,0.004020214080810547,0.002357959747314453,0.013122400000000001,6686,1672,33,0.7616346920710443,0.25938383236086104,0.051642321769090255,171.08187836819482,6.46425585517601,0.018032847297973165,0.7616346920710443,4.1446555032371984e-17,0.25938383236086104,8.044178099630765,206.97324384002468,0.6477038594268206,0.3381302571990681,0.06687919929876661,170.23749267914937,6.466526032885327,0.018033272428026405,0.6486051219295326,0.01710234816171064,0.33769746892871966,9.618436715118904,153.27666566498974,0.7604521822752452,0.6406063181332218,0.7226321158896023,0.0709713428117783,0.27477313731022224,0.026548202885739152,0.05457137065835638,0.004381732943897089,0.6173240084086644,0.7919695486890532,0.11393083264422366,1.303590335569929
Lasso,log,0.05116987228393555,0.0037751197814941406,0.004700899124145508,0.018920799999999998,6686,1672,33,0.2482779185286057,0.4606276805768025,0.21675965067861053,189.71680790982012,6.504468861362642,0.12923366316806173,0.2482779185286057,-3.1881965409516908e-18,0.4606276805768025,5.58757620676079,45.8256667061636,0.21967512048143079,0.5032315011048818,0.23552902313083895,189.61893546880236,7.314372556663006,0.1349587013036916,0.21974999976201048,0.004929591404209688,0.5032073557022593,5.8139017254505845,52.414455666317146,0.24454868992238865,0.20395428957537898,0.23266688976972155,0.037029925666164566,0.4632460018517633,0.03333040245280852,0.21859636844126693,0.007638497545467936,0.18157217894385524,0.277265110524041,0.028602798047174915,1.0924907950939495
ElasticNet,log,0.11750507354736328,0.0035190582275390625,0.004477024078369141,0.014441,6686,1672,33,0.24987931300583877,0.4601367811384923,0.21923099193611847,190.09155649760655,6.510237154730557,0.13314161727458962,0.24987931300583877,-2.656830450793076e-18,0.4601367811384923,5.492839268946886,45.05068582161128,0.21657198416637746,0.5042311145718901,0.23839349781654529,190.0083776280415,7.378976286762306,0.13734887162488166,0.21661766069234334,0.0038501409128543487,0.5042164151605556,5.749073901377817,52.461346685728614,0.24615802877992066,0.2007886358620371,0.23271306880091308,0.038166503865702764,0.4632003325262802,0.03311322265314078,0.22106981174376786,0.007867701643625801,0.17946689202199617,0.277244956578824,0.0333073288394613,1.0958287516479654
SVR,log,1.643686294555664,0.3556394577026367,0.09123563766479492,0.012963800000000001,6686,1672,33,0.8739038139063444,0.18865675248828107,0.06528984432410599,183.95607516039308,5.120089262807861,0.047067727852736704,0.8739270643717414,0.002561752707929668,0.18863935878413063,5.340102209350041,217.06239834828978,0.7524176905358614,0.2834587691540353,0.09078380336926524,182.27230418066435,6.373263306569364,0.04662586743387672,0.7525669929752088,0.006960870333169206,0.2833732875458191,9.402499259059493,203.48200042158837,0.873278261570041,0.7474297685503202,0.8033115781195205,0.03981348293578046,0.23425938220936665,0.03263752317789834,0.08589363586358575,0.004167865253128279,0.7283890492446172,0.8396778668836811,0.12148612337048303,1.5025105927305307
CatBoost,log,0.6352071762084961,0.008280515670776367,0.004517078399658203,0.0166138,6686,1672,33,0.8475765054618545,0.2074184267538142,0.043128323585052745,167.91304529664117,5.942554314129477,0.008323939739746003,0.8475772259535429,0.00045095776180720216,0.20741793652942467,8.914914483941226,207.88299342183322,0.722040598055339,0.30034525586912303,0.05836149725910915,166.347666450167,6.480906295278365,0.008263847075657544,0.7222409706211521,0.008063975912314619,0.3002369814256308,10.916535604372172,209.9527486261999,0.8468203456122214,0.7164406833641462,0.7994667306924799,0.04378803446375927,0.2359886599388429,0.03174542923803698,0.0482127242768521,0.0033875465170702455,0.7157278416829087,0.8450321422343589,0.12553590740651543,1.4480162655982463
XGBoost,sqrt,0.5977058410644531,0.009080171585083008,0.003865480422973633,0.0172118,6686,1672,33,0.718050118484579,0.6093455773118044,0.10844538208153376,108.05858038566876,20.506078713284946,0.020709262097986996,0.7180502248254339,0.00037422067584604203,0.6093454624007156,17.098388815819902,521.7622089496746,0.4495423706689867,0.907377214645776,0.14579724742587274,111.17589916758644,25.537431350378874,0.022338674373170775,0.44961512348609123,0.01043159767725138,0.9073172496035918,16.484767590850698,457.3341601960507,0.716651389367019,0.43845256494986373,0.5709208975372209,0.07019785392042949,0.7480668586191134,0.15150975186647275,0.131642666319043,0.009975914239269003,0.48447961516994087,0.6881129047736234,0.2685077478155923,1.4891011739181912
Gradient Boosting,sqrt,0.8803501129150391,0.022914648056030273,0.007772922515869141,0.010681,6686,1672,33,0.6904953161313713,0.6384271063316388,0.11588961953865708,114.26082222943852,20.55134213545132,0.0252259202239939,0.6904953753259606,-0.000279202119547053,0.6384270452801682,17.903675748593265,538.1123050792604,0.45777082193046326,0.9005697678823814,0.14920993902731589,118.5120840673355,25.56215300959467,0.02677259924246185,0.45793612053491817,0.015723908763626865,0.9004324880394529,17.94077420238136,471.60112373551965,0.6889598900087517,0.4468467908704543,0.5802707702472883,0.08138691798980646,0.7399895072669251,0.16012550475436,0.13476046482271636,0.007593348608614139,0.4871386299520679,0.7226366947220358,0.23272449420090802,1.4106070353371065
