feature,feature_group,Pearson_rank,Spearman_rank,GradBoost_Perm_rank,Avg_Perm_rank,XGBoost_Perm_rank,avg_rank,rank_std,abs_pearson,abs_spearman,gradboost_perm_importance,avg_perm_importance,xgboost_perm_importance
feature_functions_count,Original_metrics,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48847062745401865,0.6213898267619385,0.39371786553864335,0.5395607244223808,0.6854035833061182
feature_operator_density,Original_metrics,2.0,11.0,2.0,4.0,4.0,4.6,3.714835124201342,0.36580698191297334,0.19539456622360704,0.07857165162746044,0.08474915740094983,0.09092666317443923
feature_node_type_entropy,Original_metrics,8.0,2.0,5.0,5.0,8.0,5.6,2.5099800796022267,0.175185025740297,0.29431080987758873,0.05334991703347539,0.04820796723369433,0.043066017433913265
feature_conditionals_count,Original_metrics,3.0,3.0,6.0,8.0,10.0,6.0,3.082207001484488,0.2566555067166807,0.22892048531882794,0.04078451337425495,0.03954548855388615,0.03830646373351736
feature_loops_count,Original_metrics,10.0,24.0,4.0,2.0,2.0,8.4,9.316651759081694,0.13228534250330135,0.07421106467598407,0.070849233252371,0.11465273944253573,0.15845624563270047
feature_literal_density,Original_metrics,4.0,7.0,12.0,12.0,12.0,9.4,3.714835124201342,0.19537185256164585,0.20727868341013175,0.026133574873054843,0.03202108416749645,0.03790859346193807
feature_variable_entropy,Original_metrics,12.0,15.0,10.0,6.0,5.0,9.6,4.159326868617084,0.11615442384640004,0.1393962598769501,0.03019307223963138,0.0479711848156478,0.06574929739166421
feature_unique_node_types,Original_metrics,5.0,12.0,7.0,11.0,13.0,9.6,3.4351128074635335,0.19045591914582477,0.1913157271990898,0.03654889722899298,0.035805211382469795,0.0350615255359466
feature_leaves_to_nodes_ratio,Original_metrics,9.0,20.0,8.0,10.0,9.0,11.2,4.969909455915671,0.1412908375976517,0.11803149332803684,0.03303690517033538,0.036049846276660545,0.03906278738298571
feature_program_difficulty,Original_metrics,13.0,22.0,9.0,7.0,6.0,11.4,6.50384501660364,0.11184042091761964,0.09169758975790224,0.03252513032550567,0.041913516068556284,0.05130190181160689
feature_nesting_complexity,Original_metrics,11.0,5.0,21.0,15.0,15.0,13.4,5.8991524815010505,0.12096500780486673,0.21542237812623444,0.007351587413368388,0.01357756283620321,0.019803538259038033
feature_call_density,Original_metrics,30.0,13.0,11.0,9.0,7.0,14.0,9.219544457292887,0.023718291607710905,0.1828250459370756,0.026344539208768204,0.03842476299881035,0.05050498678885249
feature_attribute_density,Original_metrics,31.0,32.0,3.0,3.0,3.0,14.4,15.614096195425468,0.023270264667254997,0.005608657250331962,0.07670902853945318,0.10529578541419435,0.1338825422889355
feature_operator_entropy,Original_metrics,7.0,19.0,14.0,17.0,19.0,15.2,5.019960159204453,0.18350822325934735,0.12520140914798136,0.014665265894663049,0.010640826553567318,0.006616387212471586
feature_unique_functions,Original_metrics,24.0,8.0,18.0,18.0,17.0,17.0,5.744562646538029,0.03511407512740757,0.20549425134863894,0.01043118277788575,0.010306216108995996,0.010181249440106243
feature_cyclomatic_complexity,Original_metrics,16.0,9.0,20.0,21.0,23.0,17.8,5.540758070878027,0.09581875305437926,0.20347631531715865,0.007669608584495747,0.006423349781830368,0.005177090979164989
feature_variable_density,Original_metrics,18.0,23.0,16.0,16.0,16.0,17.8,3.03315017762062,0.08012672985906147,0.08533593763270694,0.012110802095666862,0.012038171407643267,0.011965540719619671
feature_avg_depth,Original_metrics,23.0,26.0,15.0,14.0,14.0,18.4,5.683308895353129,0.035616018275698935,0.049960392612380285,0.013190324827333288,0.021327939419956032,0.029465554012578776
feature_depth_variance,Original_metrics,29.0,29.0,13.0,13.0,11.0,19.0,9.16515138991168,0.023917112357217184,0.03271481600542599,0.017490708048588176,0.027762226911795838,0.0380337457750035
feature_cognitive_complexity,Original_metrics,15.0,4.0,19.0,29.0,33.0,20.0,11.532562594670797,0.10134685274983973,0.22546770994828813,0.007798771585971575,0.0030754457701736623,-0.0016478800456242505
feature_control_flow_complexity,Original_metrics,14.0,6.0,23.0,28.0,29.0,20.0,9.82344135219425,0.10988589006244702,0.21035198153501786,0.006900267599490084,0.003532461188696412,0.00016465477790273965
feature_unique_variables,Original_metrics,20.0,16.0,24.0,22.0,20.0,20.4,2.966479394838265,0.07019088236711071,0.13833791304758025,0.006543678459583757,0.006420958847238867,0.006298239234893976
feature_unique_operators,Original_metrics,6.0,17.0,22.0,27.0,30.0,20.4,9.44986772394196,0.18383110182382112,0.13826846101334847,0.007222829473445269,0.003635699560217509,4.856964698974897e-05
feature_program_effort,Original_metrics,25.0,21.0,17.0,19.0,21.0,20.6,2.966479394838265,0.03298524473358784,0.11067773028328114,0.011056161177002222,0.008362320874339718,0.005668480571677214
feature_max_branching_factor,Original_metrics,17.0,25.0,26.0,20.0,18.0,21.2,4.08656334834051,0.08385526497842802,0.0625410688178309,0.0063446617491353715,0.006726261095174579,0.0071078604412137866
feature_vocabulary_size,Original_metrics,22.0,10.0,27.0,24.0,24.0,21.4,6.61815684310972,0.048403592619803384,0.19866407335792627,0.005548416007010215,0.00526003962101052,0.004971663235010826
feature_program_length,Original_metrics,27.0,18.0,28.0,25.0,22.0,24.0,4.06201920231798,0.027031144991916965,0.12566595388769397,0.005085339999098238,0.005184081738024243,0.005282823476950249
feature_program_volume,Original_metrics,26.0,14.0,29.0,26.0,26.0,24.2,5.848076606885378,0.0308899409308546,0.14754701051328273,0.004862690087586852,0.00418217565046255,0.0035016612133382473
feature_total_nodes,Original_metrics,28.0,27.0,25.0,23.0,25.0,25.6,1.949358868961793,0.02401370931538291,0.04451719440824075,0.006374008111920326,0.005651620971116533,0.00492923383031274
feature_avg_branching_factor,Original_metrics,19.0,27.0,30.0,31.0,28.0,27.0,4.743416490252569,0.0759787858240113,0.04451719440824075,0.0035566885794016457,0.0021118229110486998,0.0006669572426957537
feature_max_depth,Original_metrics,21.0,30.0,31.0,30.0,27.0,27.8,4.08656334834051,0.053866320094610794,0.017675731636941507,0.0023912312242708733,0.00260612644393417,0.0028210216635974673
feature_classes_count,Original_metrics,,,32.0,32.0,31.0,31.666666666666668,0.5773502691896258,,,0.0,0.0,0.0
feature_try_blocks_count,Original_metrics,32.0,31.0,33.0,33.0,32.0,32.2,0.8366600265340756,0.013393365855977484,0.014908940485506837,-0.0007313270774083391,-0.0004320585844797498,-0.0001327900915511604
