feature,feature_group,Pearson_rank,Spearman_rank,GradBoost_Perm_rank,Avg_Perm_rank,XGBoost_Perm_rank,avg_rank,rank_std,abs_pearson,abs_spearman,gradboost_perm_importance,avg_perm_importance,xgboost_perm_importance
feature_operator_density,Original_metrics,1.0,11.0,1.0,1.0,1.0,3.0,4.47213595499958,0.28606634821868515,0.19539456622360704,0.10212006684176358,0.3144377431690534,0.5267554194963432
feature_conditionals_count,Original_metrics,3.0,3.0,9.0,5.0,5.0,5.0,2.449489742783178,0.18081749187798857,0.22892048531882794,0.013728845614856077,0.03308810557899699,0.052447365543137905
feature_program_difficulty,Original_metrics,10.0,22.0,2.0,3.0,3.0,8.0,8.455767262643882,0.12907181082961977,0.09169758975790224,0.056167805854605235,0.07494926817047408,0.09373073048634292
feature_literal_density,Original_metrics,5.0,7.0,8.0,10.0,10.0,8.0,2.1213203435596424,0.1735382250590205,0.20727868341013175,0.016059571799820583,0.016293740658007018,0.01652790951619345
feature_variable_entropy,Original_metrics,8.0,15.0,4.0,6.0,8.0,8.2,4.147288270665545,0.14455006617621874,0.1393962598769501,0.037184501299788134,0.03203771399798786,0.02689092669618759
feature_functions_count,Original_metrics,6.0,1.0,12.0,12.0,11.0,8.4,4.827007354458868,0.16594171663672144,0.6213898267619385,0.00954758221267048,0.011414469672363425,0.01328135713205637
feature_unique_node_types,Original_metrics,20.0,12.0,6.0,4.0,4.0,9.2,6.870225614927067,0.04697700109741094,0.1913157271990898,0.031110235310252775,0.051272044549571266,0.07143385378888975
feature_call_density,Original_metrics,26.0,13.0,7.0,2.0,2.0,10.0,10.024968827881711,0.024003077157807584,0.1828250459370756,0.022068387825026403,0.09917964209853616,0.17629089637204592
feature_loops_count,Original_metrics,7.0,24.0,5.0,8.0,9.0,10.6,7.635443667528429,0.15604628352095273,0.07421106467598407,0.036548999875989176,0.027037809428361315,0.017526618980733454
feature_operator_entropy,Original_metrics,2.0,19.0,10.0,13.0,12.0,11.2,6.1400325732035,0.20514251090081803,0.12520140914798136,0.010588470087729552,0.009542961509176707,0.008497452930623862
feature_leaves_to_nodes_ratio,Original_metrics,12.0,20.0,11.0,9.0,6.0,11.6,5.224940191045253,0.11720873034140088,0.11803149332803684,0.010121677088933134,0.02627632648611361,0.042430975883294086
feature_node_type_entropy,Original_metrics,19.0,2.0,20.0,11.0,7.0,11.8,7.726577508832744,0.04811870657241174,0.29431080987758873,0.0027551425964212894,0.015005122342480803,0.027255102088540317
