feature,feature_group,Pearson_rank,Spearman_rank,GradBoost_Perm_rank,Avg_Perm_rank,XGBoost_Perm_rank,avg_rank,rank_std,abs_pearson,abs_spearman,gradboost_perm_importance,avg_perm_importance,xgboost_perm_importance
feature_conditionals_count,Original_metrics,2.0,3.0,1.0,2.0,2.0,2.0,0.7071067811865476,0.08289179513882294,0.22892048531882794,0.08957402179844598,0.2661265150849953,0.44267900837154467
feature_operator_density,Original_metrics,1.0,11.0,2.0,3.0,3.0,4.0,4.0,0.11197595751052265,0.19539456622360704,0.01177814472943195,0.10664615356031691,0.20151416239120187
feature_node_type_entropy,Original_metrics,28.0,2.0,5.0,1.0,1.0,7.4,11.631852818876279,0.005699216876237085,0.29431080987758873,0.002584569955062932,0.2846767388123641,0.5667689076696653
feature_nesting_complexity,Original_metrics,19.0,5.0,4.0,6.0,7.0,8.2,6.1400325732035,0.02383187560856037,0.21542237812623444,0.004363839314559637,0.026511311469890476,0.048658783625221316
feature_cognitive_complexity,Original_metrics,18.0,4.0,3.0,10.0,14.0,9.8,6.418722614352484,0.025620147947832014,0.22546770994828813,0.005199876067065024,0.005143177188767879,0.005086478310470733
feature_variable_density,Original_metrics,9.0,23.0,9.0,5.0,5.0,10.2,7.429670248402684,0.05635074129090206,0.08533593763270694,-0.0006021958388201298,0.037833749648777226,0.07626969513637458
feature_classes_count,Original_metrics,,,7.0,12.0,15.0,11.333333333333334,4.041451884327381,,,0.0,0.0,0.0
feature_functions_count,Original_metrics,5.0,1.0,15.0,18.0,18.0,11.4,7.893034904268447,0.07493413105210855,0.6213898267619385,-0.005219298004098949,-0.0028164171109535067,-0.00041353621780806373
feature_unique_operators,Original_metrics,7.0,17.0,20.0,7.0,6.0,11.4,6.58027355054484,0.06335624548526075,0.13826846101334847,-0.022676829005736244,0.016126012758565067,0.054928854522866374
feature_vocabulary_size,Original_metrics,30.0,10.0,14.0,4.0,4.0,12.4,10.714476188783099,0.0046997278371368086,0.19866407335792627,-0.004626907698778893,0.05171520565566551,0.10805731901010991
feature_operator_entropy,Original_metrics,4.0,19.0,16.0,11.0,12.0,12.4,5.683308895353129,0.07704318915093819,0.12520140914798136,-0.009458463732295641,0.001126762398848546,0.011711988529992733
feature_program_volume,Original_metrics,29.0,14.0,10.0,8.0,10.0,14.2,8.555699854482974,0.005256708918861335,0.14754701051328273,-0.0013876199626982944,0.006837784791673918,0.01506318954604613
feature_control_flow_complexity,Original_metrics,21.0,6.0,11.0,15.0,20.0,14.6,6.268971207462991,0.01982372461780993,0.21035198153501786,-0.0014015940119207482,-0.0009211618597334992,-0.00044072970754625016
feature_loops_count,Original_metrics,6.0,24.0,13.0,17.0,17.0,15.4,6.58027355054484,0.06781561479396143,0.07421106467598407,-0.004617882692605968,-0.0024586354316256994,-0.00029938817064543153
feature_cyclomatic_complexity,Original_metrics,23.0,9.0,12.0,16.0,21.0,16.2,5.890670590009257,0.015106026571708741,0.20347631531715865,-0.002365166071744462,-0.0020700170596106068,-0.0017748680474767519
feature_unique_variables,Original_metrics,10.0,16.0,21.0,21.0,13.0,16.2,4.868264577855234,0.05282489215393575,0.13833791304758025,-0.0252652849512218,-0.008339921615192016,0.008585441720837772
feature_program_difficulty,Original_metrics,11.0,22.0,19.0,19.0,11.0,16.4,5.079370039680118,0.050669153578119755,0.09169758975790224,-0.02023787274350184,-0.004082332441397996,0.012073207860705848
