model,transformation,train_r2,test_r2,cv_r2_mean,cv_r2_std,train_rmse,test_rmse,train_mae,test_mae,train_test_r2_gap,train_time_seconds,inference_energy_per_sample_joules
XGBoost,log,0.8801628642514413,0.7553665513304388,0.8111957648655244,0.0403729899855183,0.18391497349238906,0.2817656264731742,0.04170190692567869,0.05732490359235106,0.12479631292100246,0.22986769676208496,0.2234004
Gradient Boosting,log,0.8672373913910424,0.7473726081525103,0.8100708491726467,0.040615831975321016,0.1935794569959636,0.2863322798900715,0.044024973888515354,0.05880351038839546,0.11986478323853211,0.8926606178283691,0.025268400000000003
Random Forest,log,0.8255869113151789,0.7187829192954153,0.7936565882110552,0.04769925557756165,0.2218763001457663,0.30210014928315154,0.04617765204325478,0.06030844119872262,0.10680399201976365,0.48284125328063965,0.24708199999999997
Extra Trees,log,0.7618972087060271,0.6819052565079967,0.7376754171284763,0.047469826668687175,0.2592409606281801,0.3212982338951358,0.06203677318516113,0.07448057459421942,0.07999195219803035,0.3615741729736328,0.24467699999999998
KNN,log,0.7176236123782578,0.644600134670917,0.6842952911317484,0.08107033151232759,0.28231604920536796,0.33961645278269537,0.052184916164751204,0.06610182337663958,0.07302347770734074,0.006268739700317383,0.0166624
Ridge,log,0.2504551729097655,0.21441679579905337,0.23028943722301903,0.0404801048439753,0.4599601261006984,0.5049242010186618,0.2208901196369086,0.24060279521870206,0.036038377110712116,0.010918140411376953,0.011328000000000001
Bayesian Ridge,log,0.25007882641715706,0.2159031391447389,0.2321296491599547,0.03878908208762954,0.4600755846099604,0.5044463101693308,0.2198374471922962,0.23902670435178996,0.034175687272418154,0.09107494354248047,0.0145142
AdaBoost,log,0.8220166118523249,0.6332096794568448,0.7573885709425008,0.05122253154891246,0.22413574017774154,0.34501583273277914,0.07264454025044749,0.09207507055711013,0.18880693239548008,0.7367727756500244,0.0407714
Decision Tree,log,0.7616346920710443,0.6477038594268206,0.7226321158896023,0.0709713428117783,0.25938383236086104,0.3381302571990681,0.051642321769090255,0.06687919929876661,0.11393083264422366,0.020283937454223633,0.013122400000000001
Lasso,log,0.2482779185286057,0.21967512048143079,0.23266688976972155,0.037029925666164566,0.4606276805768025,0.5032315011048818,0.21675965067861053,0.23552902313083895,0.028602798047174915,0.05116987228393555,0.018920799999999998
ElasticNet,log,0.24987931300583877,0.21657198416637746,0.23271306880091308,0.038166503865702764,0.4601367811384923,0.5042311145718901,0.21923099193611847,0.23839349781654529,0.0333073288394613,0.11750507354736328,0.014441
SVR,log,0.8739038139063444,0.7524176905358614,0.8033115781195205,0.03981348293578046,0.18865675248828107,0.2834587691540353,0.06528984432410599,0.09078380336926524,0.12148612337048303,1.643686294555664,0.012963800000000001
CatBoost,log,0.8475765054618545,0.722040598055339,0.7994667306924799,0.04378803446375927,0.2074184267538142,0.30034525586912303,0.043128323585052745,0.05836149725910915,0.12553590740651543,0.6352071762084961,0.0166138
XGBoost,sqrt,0.718050118484579,0.4495423706689867,0.5709208975372209,0.07019785392042949,0.6093455773118044,0.907377214645776,0.10844538208153376,0.14579724742587274,0.2685077478155923,0.5977058410644531,0.0172118
Gradient Boosting,sqrt,0.6904953161313713,0.45777082193046326,0.5802707702472883,0.08138691798980646,0.6384271063316388,0.9005697678823814,0.11588961953865708,0.14920993902731589,0.23272449420090802,0.8803501129150391,0.010681
Random Forest,sqrt,0.6128363699242498,0.4660040485120793,0.5883830648589303,0.09921162496758351,0.7140440123531646,0.8937064738614786,0.1104386291164726,0.13590510019659502,0.1468323214121705,0.4738287925720215,0.2471552
Extra Trees,sqrt,0.5607455302993742,0.4527711219964229,0.5513361436271607,0.10356778968552995,0.7605640610400795,0.904712155644025,0.13601487789684322,0.15544427942967473,0.10797440830295135,0.4798705577850342,0.235229
KNN,sqrt,0.5247232015495045,0.4068611401601705,0.4958744476765154,0.12333967649842614,0.791135753867353,0.9418985117833676,0.12254162631600023,0.15651885607476296,0.11786206138933397,0.006563663482666016,0.0177124
Ridge,sqrt,0.18121955226953468,0.1180147239934779,0.16985184293274772,0.04968672225804718,1.0383922467151045,1.1485676743622795,0.4018560827407637,0.433255677209516,0.06320482827605678,0.011857271194458008,0.0119384
Bayesian Ridge,sqrt,0.18065959780930363,0.12004999784515369,0.1717326143029137,0.04844960359238411,1.0387472582407666,1.147241688560924,0.3984469211160018,0.42869825992187055,0.06060959996414994,0.09931421279907227,0.0120362
AdaBoost,sqrt,0.4435317277866935,0.04119468678200966,0.25144208672090296,0.1423437834401824,0.8560475898270133,1.1975430584140356,0.2002893238702324,0.2476559854848523,0.4023370410046838,0.7639203071594238,0.033178400000000004
Decision Tree,sqrt,0.5787225881138724,0.3952542401929948,0.5222436406206608,0.08209189806530912,0.7448379428403651,0.9510696822948761,0.12284176653996401,0.15767383665810752,0.18346834792087763,0.04502415657043457,0.0157104
Lasso,sqrt,0.18070638844712206,0.12030886961102671,0.1724340833254597,0.048255260246177226,1.0387175975890122,1.147072923104372,0.3972833881198285,0.42791355170754225,0.06039751883609534,0.05800819396972656,0.0126344
ElasticNet,sqrt,0.18101753711551893,0.11883908133291332,0.1715651470184863,0.04869601005837845,1.03852033845984,1.1480307881110257,0.3997200525634392,0.4304753493586297,0.06217845578260561,0.1533675193786621,0.010742
SVR,sqrt,0.6193300237764854,0.5045673286621281,0.593042246600082,0.1099754412198325,0.708030583644753,0.8608316834130918,0.11134600730237383,0.1518756667605392,0.11476269511435733,2.4950709342956543,0.017041
CatBoost,sqrt,0.6721104836927665,0.42022524433272723,0.5629295747882713,0.05769434150899382,0.6571151357129116,0.9312270279634928,0.11391493666396686,0.14874846955129464,0.25188523936003926,0.44966983795166016,0.017639
XGBoost,raw,0.42797333981939545,-0.050078945759677085,-0.023109562341067424,0.2623253839830026,14.473572499969325,20.009802949851984,1.6822694730257446,2.2488427847347214,0.47805228557907253,0.2597510814666748,0.0979978
Gradient Boosting,raw,0.3687228550695252,0.02841027674656016,0.07650493138524805,0.08273319436805197,15.204692412409925,19.247454102069515,1.863007162958793,2.283668009952882,0.340312578322965,0.8879847526550293,0.0196898
Random Forest,raw,0.20933817752962924,0.08080965988288502,0.18588664790392928,0.12642937479785993,17.016216023599497,18.721237905922052,1.3657394869486543,1.6305279633394323,0.12852851764674422,0.4679245948791504,0.23641299999999998
Extra Trees,raw,0.17503540960270414,0.09363729103787322,0.1962853365138277,0.16058845924236853,17.381420235008378,18.59014815027778,1.5297938344383497,1.801549414885287,0.08139811856483092,0.33658576011657715,0.2635124
KNN,raw,0.15384619231004149,0.06752670382583037,0.1489288908563326,0.12237083178332175,17.60322590344,18.856020347462312,1.3859158302949162,1.7951307471156583,0.08631948848421112,0.006601095199584961,0.017749
Ridge,raw,0.04653511695726342,-0.004140431966207281,0.053620522810166917,0.05266244207672234,18.686155427637534,19.56721710214609,3.7458615281004177,4.08566739224669,0.050675548923470703,0.011381149291992188,0.011022800000000001
Bayesian Ridge,raw,0.04421046474962109,0.0026393250130205548,0.05536846777270634,0.05359509314248908,18.708921010469787,19.50104823931321,3.5843053808052976,3.8761687203187423,0.04157113973660054,0.10998010635375977,0.0191528
AdaBoost,raw,-1.2781043950445845,-1.646502297463229,-4.064662531649409,5.714735370301506,28.883805825808597,31.76639809003014,3.7506402234807337,4.20028406034833,0.36839790241864456,0.6846377849578857,0.03468
Decision Tree,raw,0.19245844420859415,0.029976511673832418,0.07490059269230029,0.02202869046056424,17.19689525013102,19.231934076971086,1.3566187917608241,1.716124702771932,0.16248193253476173,0.041506052017211914,0.013769400000000001
Lasso,raw,0.04652914866410973,-0.003102306572320579,0.05370342785841795,0.05280457406856141,18.68621391132213,19.557099753411315,3.7429617039633025,4.0827000680788,0.04963145523643031,0.14692115783691406,0.0130492
ElasticNet,raw,0.0465207938557437,-0.003276572368216879,0.05420940340867235,0.05289944112922631,18.68629578031377,19.558798476225235,3.7350786797861417,4.071683141876409,0.04979736622396058,0.2999284267425537,0.0175292
SVR,raw,0.1062309939381918,0.07513935817168471,0.1679886469622733,0.1719805997536429,18.091736380190298,18.778892916733785,1.1233444216349433,1.3506483417669508,0.031091635766507086,4.699711799621582,0.016699
CatBoost,raw,0.36806164276053854,-0.0933857246835994,-0.024534074330465838,0.29426870260687077,15.212653177874753,20.418250899460723,1.3721770615286162,1.9448894675601056,0.46144736744413795,0.3954958915710449,0.0349972
